cell_id,dataset,donor_id,condition,cell_type,INS,IAPP,PDX1,MAFA,NKX6-1,SLC2A2,GABRA2,PPP1R1A,ADCYAP1,ENTPD3,HSPA5,XBP1,DDIT3,ATF4,HERPUD1,IL1R2,HLA-DRA,HLA-DPA1,GBP2,TNFRSF10A,NDUFA1,NDUFB5,SDHA,UQCRC1,COX4I1,ATP5F1A,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079
ND_donor_01_cell_018,demo,ND_donor_01,ND,beta,37,33,48,43,32,45,40,36,45,43,0,2,0,1,0,0,0,0,1,1,5,15,10,9,4,9,1,4,1,0,7,2,2,4,2,2,1,1,0,1,0,0,2,2,2,3,7,0,4,1,1,3,1,1,2,1,0,4,0,0,0,2,3,2,4,1,1,2,0,2,4,2,3,2,4,3,3,1,5,2,1,3,0,4,1,1,1,5,0,1,2,1,4,1,2,0,2,5,3,2,2,2,4,0,3,2
ND_donor_01_cell_019,demo,ND_donor_01,ND,beta,22,30,28,34,18,28,42,22,22,28,1,1,5,2,3,1,4,0,3,1,2,8,9,7,11,6,0,1,1,3,1,2,0,2,1,0,4,0,1,1,1,1,0,5,1,2,2,1,0,1,0,1,3,0,2,2,1,1,4,1,1,3,0,3,2,1,0,1,6,0,1,1,0,4,4,9,0,0,2,2,0,1,4,1,1,6,2,3,3,4,2,0,2,2,3,0,2,2,3,1,3,0,1,3,1,4
ND_donor_01_cell_020,demo,ND_donor_01,ND,beta,42,39,37,35,33,30,31,29,27,24,1,1,3,2,1,3,3,3,3,3,6,5,6,2,8,5,0,3,0,1,0,2,1,4,3,1,2,0,1,2,2,0,0,1,4,1,2,3,0,0,0,3,2,6,0,5,3,3,0,2,2,5,3,2,2,5,1,3,1,4,0,2,1,2,1,4,1,3,3,1,1,0,4,0,5,4,2,2,3,2,3,1,0,0,1,1,2,2,1,1,5,0,2,3,0,1
ND_donor_01_cell_021,demo,ND_donor_01,ND,beta,28,27,43,34,33,36,28,29,47,39,0,1,2,2,2,5,5,0,1,1,5,6,9,6,7,6,1,4,2,2,2,3,0,1,5,1,3,4,2,0,0,2,2,0,0,1,1,1,2,0,0,2,6,1,3,1,1,4,1,1,1,3,0,4,5,1,1,1,1,1,0,1,0,1,3,0,3,0,3,1,2,1,4,1,2,4,0,1,1,2,2,0,3,1,1,0,1,1,5,1,0,0,1,2,0,5
ND_donor_01_cell_022,demo,ND_donor_01,ND,beta,20,15,11,14,26,24,20,25,21,18,4,1,3,5,4,2,0,4,4,4,9,2,4,3,9,4,2,2,2,3,2,0,6,0,0,2,1,1,0,0,1,1,1,1,3,6,3,1,0,0,4,2,1,1,5,5,2,6,2,2,1,1,0,1,4,3,0,3,3,1,3,5,2,0,0,5,1,0,1,4,1,2,0,1,2,0,4,3,1,4,1,3,1,0,0,4,1,3,5,3,0,2,2,4,2,1
ND_donor_01_cell_023,demo,ND_donor_01,ND,beta,15,11,15,16,14,21,14,15,21,17,4,3,3,5,2,4,4,2,0,3,5,10,4,4,5,6,0,2,1,3,0,0,0,4,3,3,3,3,2,1,2,1,2,2,0,2,3,0,4,0,2,4,1,1,2,1,1,2,2,0,2,0,0,2,5,0,0,2,0,1,5,2,3,2,2,0,1,2,1,1,4,0,1,1,0,0,2,2,1,4,1,3,2,2,0,0,3,5,0,1,2,4,0,1,1,1
ND_donor_01_cell_024,demo,ND_donor_01,ND,beta,13,10,11,8,12,6,9,19,14,11,5,3,8,4,8,2,5,5,3,7,5,7,3,3,2,6,1,1,2,1,5,1,1,3,4,4,0,1,4,2,3,3,2,2,1,1,2,0,2,4,1,3,3,0,1,1,0,4,3,4,1,1,0,0,1,2,5,3,2,1,2,0,1,2,1,3,3,0,0,0,1,4,1,4,3,0,1,1,6,1,3,0,2,3,1,1,4,1,3,4,1,6,3,2,3,1
ND_donor_01_cell_025,demo,ND_donor_01,ND,beta,21,17,23,24,18,11,17,24,18,19,5,3,3,1,2,2,3,1,3,2,2,6,2,3,9,2,2,1,2,2,0,6,1,3,0,4,1,1,1,2,0,3,2,0,2,1,2,0,0,1,1,1,0,0,5,3,4,3,5,0,1,2,2,1,1,1,5,5,0,1,0,4,4,2,3,2,2,0,1,1,3,1,2,2,3,1,2,3,0,1,2,0,2,1,3,1,0,1,1,0,0,6,7,0,2,1
ND_donor_01_cell_026,demo,ND_donor_01,ND,beta,39,43,33,31,33,34,32,34,39,33,0,0,0,0,0,1,2,3,1,4,3,5,2,7,11,7,2,2,6,4,0,1,3,2,4,4,2,5,3,2,1,0,1,3,4,4,1,0,2,3,2,2,3,0,1,4,0,0,2,4,0,1,0,1,1,0,2,2,2,1,2,6,2,1,0,3,0,1,3,1,4,1,0,4,1,0,1,2,0,1,2,1,4,3,4,1,1,7,0,2,0,0,2,0,2,2
ND_donor_01_cell_027,demo,ND_donor_01,ND,beta,10,13,11,9,8,11,16,15,11,17,5,1,3,4,5,3,5,5,5,2,3,5,7,6,8,7,0,2,2,3,1,1,3,3,1,4,1,0,2,0,2,1,0,1,2,0,3,1,1,2,2,2,5,1,1,2,2,1,4,0,0,2,0,0,4,2,0,2,3,2,1,1,1,0,0,1,3,1,5,1,1,1,1,0,1,2,1,1,0,0,5,1,3,0,1,3,0,3,1,1,1,3,1,1,0,4
ND_donor_01_cell_028,demo,ND_donor_01,ND,beta,15,22,29,24,18,21,17,17,23,23,3,3,3,3,2,2,4,4,1,2,7,7,3,7,6,5,3,1,3,2,4,3,0,1,5,5,0,1,2,2,3,2,1,1,1,1,0,2,0,1,3,3,1,2,1,1,0,0,0,2,1,1,8,3,3,2,0,4,4,1,0,3,1,3,3,3,1,1,0,0,3,4,4,3,0,1,2,0,3,0,1,0,1,4,2,2,0,0,1,1,1,0,2,2,0,1
ND_donor_01_cell_029,demo,ND_donor_01,ND,beta,49,38,43,45,40,38,40,46,39,49,0,0,1,1,0,0,3,2,2,2,11,6,4,6,8,9,2,0,2,2,1,0,2,1,4,6,0,4,2,5,0,0,1,1,0,2,0,4,3,0,0,2,0,4,1,0,2,2,4,6,0,1,0,3,0,5,1,4,1,1,1,2,1,3,3,4,0,2,1,1,3,2,1,0,3,0,0,3,4,1,1,5,2,1,0,3,0,4,3,0,3,0,1,3,0,2
ND_donor_01_cell_030,demo,ND_donor_01,ND,beta,45,38,42,39,37,42,39,31,43,34,0,0,1,1,4,1,1,1,1,2,10,9,6,4,4,3,4,3,3,1,1,1,4,0,6,0,2,1,1,1,0,1,1,2,0,0,1,1,1,0,3,1,3,1,2,8,4,2,0,2,1,4,1,0,2,1,0,3,4,2,1,7,2,0,2,3,1,0,0,2,0,2,6,1,0,3,2,0,0,1,1,0,1,2,1,2,0,0,2,2,1,2,4,1,1,1
ND_donor_01_cell_031,demo,ND_donor_01,ND,beta,18,21,18,26,21,20,13,20,12,19,4,4,4,3,5,3,4,2,2,1,6,10,4,11,3,7,3,1,0,0,3,1,2,2,1,0,2,3,1,1,4,2,4,0,3,1,4,1,3,1,6,1,2,2,2,0,3,2,2,2,2,1,3,0,0,2,7,1,2,1,3,3,2,2,2,3,1,3,1,1,1,0,0,4,0,3,2,0,2,5,0,3,4,4,3,5,0,3,1,1,2,0,2,1,1,2
ND_donor_01_cell_032,demo,ND_donor_01,ND,beta,34,23,30,30,29,35,30,23,22,31,3,1,2,2,2,3,3,2,2,5,5,4,4,9,8,7,1,2,3,4,0,1,6,1,2,1,1,0,2,4,1,0,4,0,1,1,4,1,0,1,0,4,1,0,2,1,2,1,0,2,0,0,1,1,2,0,3,1,3,2,2,5,1,2,0,0,2,0,1,5,1,2,3,1,0,1,2,3,1,2,0,3,1,3,0,2,2,0,2,2,0,0,3,1,1,0
ND_donor_01_cell_033,demo,ND_donor_01,ND,beta,36,41,28,23,31,42,40,34,36,38,1,3,2,2,3,2,2,0,3,2,7,8,5,4,6,9,1,2,0,1,3,1,2,1,2,0,6,1,2,3,3,4,1,4,4,2,1,2,0,2,0,0,0,1,1,0,1,2,1,3,2,1,2,2,1,4,1,1,2,3,6,0,1,4,1,4,3,2,2,6,2,0,1,0,4,1,0,2,0,2,0,0,1,2,1,2,5,2,0,1,4,2,1,3,1,0
ND_donor_01_cell_034,demo,ND_donor_01,ND,beta,44,40,46,39,47,64,54,50,63,37,1,3,0,1,1,1,2,0,0,1,8,9,9,10,4,7,2,0,4,2,2,3,2,0,3,1,1,2,1,1,0,2,4,2,2,3,3,0,1,1,0,0,5,0,4,5,1,3,2,1,2,4,0,1,2,3,1,2,0,2,3,2,0,3,0,3,2,0,1,0,2,1,2,4,2,0,4,0,2,1,0,1,3,1,0,2,3,2,2,3,6,4,4,0,3,2
ND_donor_01_cell_035,demo,ND_donor_01,ND,beta,24,25,20,28,25,23,17,23,29,18,4,2,1,1,6,6,0,2,1,0,8,6,5,7,8,5,2,3,0,1,3,4,8,0,2,3,6,0,1,0,5,2,3,2,1,2,0,3,3,1,2,0,2,3,1,2,1,8,1,0,4,4,3,1,2,1,3,0,3,2,1,2,0,0,0,0,1,2,0,3,0,3,3,1,1,1,2,1,0,3,1,0,2,1,0,0,6,3,1,1,0,0,1,3,4,1
ND_donor_01_cell_036,demo,ND_donor_01,ND,beta,53,51,46,51,47,54,53,53,52,54,0,3,3,0,0,2,0,1,2,2,10,10,8,9,9,10,4,0,1,1,2,2,6,2,4,3,2,2,2,0,2,5,1,0,0,2,0,1,1,3,0,4,1,3,0,0,3,2,3,3,0,0,1,1,2,0,0,2,4,5,5,2,1,0,0,0,3,0,2,1,3,3,2,5,3,1,6,2,0,3,3,0,2,0,0,2,0,2,3,3,4,1,1,0,0,1
ND_donor_01_cell_037,demo,ND_donor_01,ND,beta,14,12,14,19,21,11,20,24,21,21,6,2,2,6,4,3,0,0,3,5,3,5,6,9,3,7,1,0,0,0,0,1,3,0,3,4,1,0,0,1,3,2,3,3,1,3,5,0,1,0,1,1,0,5,5,2,1,1,4,4,6,1,0,2,3,0,5,2,3,2,1,3,1,1,0,3,1,1,1,3,0,0,0,2,0,4,1,2,1,2,4,0,0,3,3,0,3,3,1,3,1,2,1,1,2,1
ND_donor_01_cell_038,demo,ND_donor_01,ND,beta,16,16,17,13,8,13,10,22,11,14,6,7,4,1,4,2,8,4,11,4,6,5,5,10,2,9,1,1,2,1,0,4,2,1,3,2,2,2,1,1,1,1,2,1,0,1,0,1,0,6,3,1,1,2,2,3,1,1,2,2,6,2,0,3,3,4,1,1,3,1,1,1,1,5,0,1,0,1,1,4,0,2,3,2,2,1,2,0,2,1,3,1,1,4,0,1,1,3,3,1,1,2,3,3,1,0
ND_donor_01_cell_039,demo,ND_donor_01,ND,beta,34,35,35,54,34,47,39,44,29,42,0,2,1,0,1,0,1,1,0,0,3,6,6,7,6,8,0,2,2,5,0,2,0,1,0,3,0,1,3,3,0,4,0,0,0,0,6,0,4,2,2,2,4,3,1,3,1,1,1,3,0,0,0,1,1,4,1,0,1,1,1,1,1,0,1,1,0,0,3,0,0,0,2,0,3,1,3,2,3,3,0,0,5,2,0,0,1,0,1,0,4,1,2,2,2,0
ND_donor_01_cell_040,demo,ND_donor_01,ND,beta,19,17,28,24,18,20,15,19,21,26,2,2,2,4,2,3,1,1,4,3,3,4,6,5,2,6,3,1,1,1,1,2,5,0,4,4,0,1,3,1,2,6,2,0,2,1,4,1,1,1,0,1,2,0,2,1,2,0,1,1,8,0,0,3,1,2,1,2,4,1,0,1,3,1,1,4,2,1,2,0,1,1,1,4,0,2,6,1,2,2,3,3,4,0,0,1,0,1,2,1,2,0,2,2,2,3
ND_donor_01_cell_041,demo,ND_donor_01,ND,beta,115,114,104,88,96,101,103,113,102,103,0,0,1,1,0,0,1,0,0,1,12,13,10,9,10,8,3,2,2,0,1,2,1,0,2,0,1,3,2,0,1,5,3,2,1,4,1,0,2,0,2,1,5,4,0,0,3,1,0,2,2,1,1,4,1,0,6,1,1,1,1,1,3,1,1,2,1,1,2,2,1,4,1,4,3,3,2,0,3,2,3,3,4,1,1,0,2,1,0,2,1,1,0,3,5,0
ND_donor_01_cell_042,demo,ND_donor_01,ND,beta,32,35,20,24,28,28,26,22,29,22,3,2,2,1,0,2,1,1,0,2,3,4,8,8,6,5,1,1,1,1,0,0,0,1,2,3,1,1,0,4,1,1,1,1,2,2,0,1,0,5,3,0,2,5,3,2,4,3,2,1,2,0,3,3,0,2,2,0,0,3,0,2,2,6,0,3,2,1,0,3,1,0,0,3,3,4,4,2,0,1,2,2,4,1,1,2,2,1,0,1,0,4,2,1,0,3
ND_donor_01_cell_043,demo,ND_donor_01,ND,beta,42,33,29,32,33,35,37,31,41,32,3,4,0,0,2,3,0,3,1,1,4,3,3,10,4,9,0,0,1,2,2,0,0,2,1,1,3,3,2,1,1,3,0,0,0,2,0,7,2,4,0,2,5,1,3,3,0,3,8,4,4,3,1,1,4,2,2,0,0,2,2,5,0,4,1,4,0,0,0,1,0,3,0,3,1,2,4,1,0,0,2,1,1,0,2,3,0,1,1,3,8,4,2,1,1,2
ND_donor_01_cell_044,demo,ND_donor_01,ND,beta,29,22,18,28,13,18,27,13,17,18,1,4,2,2,1,4,0,3,3,2,5,5,8,2,7,6,2,0,1,0,3,2,3,1,4,2,2,3,2,1,1,3,2,2,3,1,5,2,3,0,0,4,4,0,2,4,2,1,1,1,2,4,3,2,0,2,0,1,3,1,0,5,1,4,2,1,1,1,2,4,1,4,3,1,1,3,2,1,0,4,4,1,1,0,0,1,1,1,4,1,1,0,0,0,0,1
ND_donor_01_cell_045,demo,ND_donor_01,ND,beta,45,34,37,38,40,27,52,49,30,36,0,0,0,0,3,1,1,1,0,1,5,11,7,5,4,4,3,3,6,4,1,1,2,2,1,2,0,3,0,3,4,1,0,0,4,1,0,2,1,2,4,1,2,3,2,1,1,4,1,3,2,5,2,1,3,3,0,1,1,4,3,1,3,0,3,3,3,2,0,0,0,2,0,6,2,1,1,0,1,1,1,4,2,4,3,2,0,3,1,1,1,2,0,1,3,0
ND_donor_01_cell_046,demo,ND_donor_01,ND,beta,27,30,24,25,29,28,30,27,27,28,1,1,3,2,2,4,3,4,3,2,4,8,12,9,10,9,1,3,0,3,0,1,5,1,1,4,0,1,1,2,3,0,2,1,0,1,3,2,2,1,5,3,0,2,0,4,0,0,1,3,3,1,8,2,4,1,3,2,3,2,2,2,1,5,0,1,0,4,2,1,2,1,3,1,0,0,2,2,5,1,0,1,2,1,0,3,0,1,1,5,4,1,2,0,2,0
ND_donor_01_cell_047,demo,ND_donor_01,ND,beta,9,11,15,13,12,13,8,18,14,14,5,2,3,3,0,5,8,6,6,11,4,2,2,4,5,4,1,2,3,0,0,0,0,4,1,1,3,3,0,4,1,2,1,2,4,4,3,3,3,3,0,1,1,0,0,2,5,1,1,3,4,2,3,0,1,3,1,2,2,1,2,1,1,2,2,1,3,1,4,1,0,1,1,2,2,0,2,2,1,4,2,0,3,3,2,4,3,0,1,1,3,6,0,3,1,2
ND_donor_01_cell_048,demo,ND_donor_01,ND,beta,21,17,16,16,20,13,22,15,20,22,2,2,3,0,2,1,1,4,2,1,3,4,3,6,5,5,2,0,1,1,3,1,3,2,2,0,2,2,4,1,1,3,2,3,4,0,2,0,1,2,4,2,3,0,2,6,1,1,2,1,2,1,5,2,3,2,1,2,2,2,1,0,0,3,3,1,2,1,0,3,0,2,5,3,2,3,4,6,1,2,1,1,0,3,1,4,1,0,2,2,3,5,0,0,0,2
ND_donor_01_cell_049,demo,ND_donor_01,ND,beta,79,60,82,64,84,66,81,85,81,81,0,1,0,0,0,1,2,1,0,1,6,16,7,11,11,12,1,2,4,1,1,0,1,2,1,1,0,1,0,2,1,1,2,3,1,0,1,1,1,0,3,4,2,0,1,1,4,0,1,2,0,2,3,3,2,4,1,7,3,0,2,2,4,2,1,5,3,5,0,2,1,0,2,0,1,1,2,2,0,3,4,0,0,1,3,3,5,2,5,4,2,0,2,4,3,0
ND_donor_01_cell_050,demo,ND_donor_01,ND,beta,58,50,61,66,48,41,53,56,63,46,0,1,0,0,1,0,3,0,1,1,10,7,9,9,9,7,1,0,0,2,0,1,4,1,6,1,0,0,0,2,1,3,2,2,4,4,3,1,1,0,2,5,3,2,2,2,1,3,2,1,1,4,2,0,0,6,1,5,0,2,2,3,1,6,1,4,0,2,0,4,4,4,0,1,1,5,4,2,0,1,0,1,0,0,0,4,2,3,2,1,0,4,1,1,1,5
ND_donor_01_cell_051,demo,ND_donor_01,ND,beta,32,30,16,21,30,20,29,32,25,23,1,1,1,6,3,2,2,2,2,3,7,7,4,12,10,11,0,1,1,2,1,1,1,3,2,0,2,4,3,1,1,0,2,1,0,6,3,1,4,2,3,1,1,2,4,3,3,0,0,3,1,4,4,2,2,4,3,3,0,0,0,2,1,2,0,3,1,1,1,4,2,0,2,1,2,0,4,0,0,4,2,1,1,3,2,4,0,0,4,1,2,0,1,3,2,3
